Code,Ticker,Open,High,Low,Close,Volume,PrevClose,CompanyName,Market,Sector17,変動率(%),前日比(%),振れ幅(%),レンジ位置,上ヒゲ比,VWAP,売買代金(百万円),終値/VWAP,全体順位,セクター内順位,セクター銘柄数,セクター内%,vsセクター
1301,1301.T,5330.0,5450.0,5320.0,5440.0,42800.0,5310.0,極洋,プライム（内国株式）,食品,2.06,2.45,2.44,0.923,0.077,5403.0,231.2,1.007,1128,19,136,0.14,0.99
130A,130A.T,480.0,498.0,478.0,494.0,46200.0,474.0,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,医薬品,2.92,4.22,4.17,0.8,0.2,490.0,22.6,1.008,657,35,79,0.443,-0.51
1332,1332.T,1510.0,1553.0,1510.0,1549.0,1355000.0,1506.5,ニッスイ,プライム（内国株式）,食品,2.58,2.82,2.85,0.907,0.093,1537.0,2082.6,1.008,821,8,136,0.059,1.51
1333,1333.T,1551.0,1589.0,1545.5,1585.5,818800.0,1538.0,マルハニチロ,プライム（内国株式）,食品,2.22,3.09,2.8,0.92,0.08,1573.0,1288.0,1.008,1035,15,136,0.11,1.15
135A,135A.T,2450.0,2575.0,2400.0,2575.0,140700.0,2400.0,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,情報通信・サービスその他,5.1,7.29,7.14,1.0,0.0,2517.0,354.1,1.023,182,37,1256,0.029,4.08
1375,1375.T,1100.0,1103.0,1095.0,1102.0,58200.0,1101.0,ユキグニファクトリー,プライム（内国株式）,食品,0.18,0.09,0.73,0.875,0.125,1100.0,64.0,1.002,2785,110,136,0.809,-0.89
1376,1376.T,1511.0,1536.0,1510.0,1531.0,14900.0,1520.0,カネコ種苗,スタンダード（内国株式）,食品,1.32,0.72,1.72,0.808,0.192,1526.0,22.7,1.003,1675,48,136,0.353,0.25
1377,1377.T,4330.0,4415.0,4315.0,4410.0,165800.0,4315.0,サカタのタネ,プライム（内国株式）,食品,1.85,2.2,2.31,0.95,0.05,4380.0,726.2,1.007,1276,27,136,0.199,0.78
1379,1379.T,1992.0,2012.0,1991.0,2012.0,64200.0,1992.0,ホクト,プライム（内国株式）,食品,1.0,1.0,1.05,1.0,0.0,2005.0,128.7,1.003,1945,64,136,0.471,-0.07
137A,137A.T,702.0,748.0,702.0,723.0,17100.0,711.0,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,情報通信・サービスその他,2.99,1.69,6.55,0.457,0.543,724.0,12.4,0.999,623,137,1256,0.109,1.97
1380,1380.T,1045.0,1063.0,1045.0,1063.0,3200.0,1050.0,秋川牧園,スタンダード（内国株式）,食品,1.72,1.24,1.72,1.0,0.0,1057.0,3.4,1.006,1385,34,136,0.25,0.65
1381,1381.T,3985.0,3990.0,3945.0,3980.0,2300.0,3980.0,アクシーズ,スタンダード（内国株式）,食品,-0.13,0.0,1.13,0.778,0.222,3972.0,9.1,1.002,3179,126,136,0.926,-1.2
1382,1382.T,1862.0,1862.0,1862.0,1862.0,100.0,1862.0,ホーブ,スタンダード（内国株式）,食品,0.0,0.0,0.0,0.0,0.0,1862.0,0.2,1.0,2950,117,136,0.86,-1.07
1383,1383.T,3275.0,3285.0,3270.0,3285.0,2100.0,3275.0,ベルグアース,スタンダード（内国株式）,食品,0.31,0.31,0.46,1.0,0.0,3280.0,6.9,1.002,2653,105,136,0.772,-0.76
1384,1384.T,3110.0,3210.0,3110.0,3210.0,29800.0,3150.0,ホクリヨウ,スタンダード（内国株式）,食品,3.22,1.9,3.22,1.0,0.0,3177.0,94.7,1.01,557,6,136,0.044,2.15
138A,138A.T,2915.0,2915.0,2900.0,2902.0,1000.0,2910.0,光フードサービス,グロース（内国株式）,小売,-0.45,-0.27,0.51,0.133,0.867,2906.0,2.9,0.999,3374,291,331,0.879,-1.13
1401,1401.T,1513.0,1540.0,1497.0,1530.0,14800.0,1495.0,エムビーエス,グロース（内国株式）,建設・資材,1.12,2.34,2.84,0.767,0.233,1522.0,22.5,1.005,1854,177,281,0.63,-0.84
1407,1407.T,1688.0,1740.0,1652.0,1739.0,389500.0,1675.0,ウエストホールディングス,スタンダード（内国株式）,建設・資材,3.02,3.82,5.21,0.989,0.011,1710.0,666.0,1.017,614,73,281,0.26,1.06
1414,1414.T,1456.5,1472.0,1448.0,1470.0,977600.0,1446.5,ショーボンドホールディングス,プライム（内国株式）,建設・資材,0.93,1.62,1.65,0.917,0.083,1463.0,1430.2,1.005,2033,189,281,0.673,-1.03
1417,1417.T,3945.0,4064.0,3926.0,4062.0,318500.0,3913.0,ミライト・ワン,プライム（内国株式）,建設・資材,2.97,3.81,3.5,0.986,0.014,4017.0,1279.4,1.011,633,76,281,0.27,1.01
1418,1418.T,567.0,568.0,559.0,561.0,120000.0,564.0,インターライフホールディングス,スタンダード（内国株式）,建設・資材,-1.06,-0.53,1.59,0.222,0.778,563.0,67.6,0.996,3572,270,281,0.961,-3.02
1419,1419.T,3965.0,4000.0,3950.0,4000.0,106200.0,3965.0,タマホーム,プライム（内国株式）,建設・資材,0.88,0.88,1.26,1.0,0.0,3983.0,423.0,1.004,2072,191,281,0.68,-1.08
141A,141A.T,4555.0,4725.0,4545.0,4700.0,1142100.0,4485.0,トライアルホールディングス,グロース（内国株式）,小売,3.18,4.79,3.95,0.861,0.139,4657.0,5318.8,1.009,566,21,331,0.063,2.5
1420,1420.T,725.0,732.0,722.0,731.0,37400.0,728.0,サンヨーホームズ,スタンダード（内国株式）,建設・資材,0.83,0.41,1.38,0.9,0.1,728.0,27.2,1.004,2121,196,281,0.698,-1.13
